valence,anger,disgust,fear,joy,sadness,surprise,headline
-63,43,66,17,0,37,0,German paper shows soldiers desecrating skull
-38,52,33,57,12,40,0,"War is close, Ethiopia tells Somali rebels"
2,0,0,0,4,0,0,Advantage Cardinals with Suppan in Game 4
27,0,0,0,29,0,26,NASA spacecraft to measure Sun
-19,34,8,0,0,0,22,"Sony Hates Europeans, Will Prevent The Importing of PS3"
37,0,0,6,45,0,0,Flu Vaccine Appears Safe for Young Children
16,0,0,0,21,0,6,Google To Launch Yet Another Search Tool
-46,16,0,32,0,57,0,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California
-68,54,48,67,0,39,0,Israeli Bomblets Plague Lebanon
-59,54,43,43,0,43,15,"New Indonesia Calamity, a Mud Bath, Is Man-Made"
-52,61,32,23,0,44,0,U.S. Weighs Sanctions Against North Korea
-41,37,33,26,0,33,0,"Rice, in Baghdad, Insists That Iraqis Are"
27,0,0,0,30,33,33,Senator Says U.S. Should Rethink Iraq Strategy
33,0,0,0,33,0,15,German Chief Forges Accord on Financing Health Care
6,49,11,45,8,35,0,Turkish Writers Say Efforts to Stifle Speech May Backfire
-79,52,42,75,0,59,0,Kurdish Lawmaker Killed in an Attack in Baghdad
-71,63,45,58,0,54,0,Anti-U.S. Attack Videos Spread on the Internet
-70,51,62,57,0,58,17,"Women Face Greatest Threat of Violence at Home, Study Finds"
5,0,0,0,8,0,1,Appeal by Chinese Researcher for Times May Soon Be Heard
-60,15,0,43,0,68,11,Brazil Air Force Cites Faults and Confusion in Fatal Crash
-32,29,29,33,0,33,0,A Mix of Oil and Environmentalism
27,18,0,0,50,28,0,Immigrants and French Reach Deal in Standoff
0,20,0,0,15,0,20,Genghis Khan Beer? Mongolia Grimaces
-6,0,0,0,20,14,27,Dead Bachelors in Remote China Still Find Wives
0,0,0,0,0,0,0,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu"
36,0,4,0,40,2,21,Paris Journal: Smoking No Longer Tres Chic in France
6,0,0,25,8,0,39,An Old Letter Casts Doubts on Iran's Goal for Uranium
-29,23,0,47,0,39,0,U.S. Warns North Koreans About Nuclear Test
-64,0,0,11,4,71,0,Global Sludge Ends in Tragedy for Ivory Coast
-56,49,33,46,0,67,38,Equipment on Plane in Brazil Collision May Have Been Faulty
-56,59,41,6,0,62,13,"New Indonesia Calamity, a Mud Bath, Is Man-Made"
-63,7,0,47,0,28,13,Iraqi Journalists Add Laws to List of Dangers
-2,0,0,32,24,32,0,U.N. Force Is Treading Lightly on Lebanese Soil
-39,33,33,33,0,38,9,Cleric Said to Lose Reins Over Part of Iraqi Militia
34,0,0,0,33,0,36,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes"
-10,3,0,0,0,28,0,Opera Canceled Over a Depiction of Muhammad
10,25,2,7,30,0,26,Military Officials Add to U.S. Criticism of Iraq's Government
-46,13,2,38,0,36,0,Teacher in Hiding After Attack on Islam Stirs Threats
-45,34,17,49,0,0,21,Combative Bush Releases Parts of Terror Study
-67,39,37,56,0,35,6,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out
-44,32,33,41,0,31,0,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says"
-25,26,30,0,4,28,0,"Seduced by Snacks? No, Not You"
71,0,0,0,87,0,16,Friends for Life: An Emerging Biology of Emotional Healing
-85,33,0,16,0,91,47,"Alzheimer's Drugs Offer No Help, Study Finds"
-48,10,9,19,0,43,0,"Across Europe, Worries on Islam Spread to Center"
36,0,0,0,49,0,0,Cooking Defines Sephardic Jews at Sukkot
44,0,0,0,64,0,0,"Fitness: Bodies in Motion, Clean and Sober"
13,0,0,0,10,0,10,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books
-78,0,0,9,0,93,0,"Yankee Dies in Plane Crash, Official Says"
-25,11,0,0,14,31,0,An Elephant Crackup?
58,0,0,0,72,0,42,"With YouTube, Grad Student Hits Jackpot Again"
65,0,0,0,67,0,51,Dow flirts with record highs again
-66,0,0,86,0,10,0,Tropical Storm Isaac forms in Atlantic
-92,37,35,95,0,37,0,New Iraq terror tape calls for abducting foreigners
-31,0,4,0,0,40,6,'Deep regret' for ex-HP exec
13,0,0,0,13,0,3,'Opportunity' knocks on geologist's dream crater
-71,28,4,61,0,28,62,Squirrel jumps boy in park; rabies suspected
-78,39,39,62,12,66,9,Girl left comatose after dental visit dies
-28,31,36,0,28,33,20,Porn star candidate campaigns on campus
-1,0,0,0,0,5,5,School ends football season after 0-4 start
47,3,3,0,54,0,10,Charlie Sheen to become highest-paid sitcom star
-29,13,13,0,0,5,21,Jon Stewart mocks benefits of CNN's I
6,0,0,0,8,0,11,Ashton Kutcher tells secret to Ryan Seacrest
-5,4,20,0,3,0,10,Nails-on-chalkboard study earns Ig
-26,6,6,6,0,22,10,Gunman 'fine' before shooting
44,0,2,0,25,0,47,Marijuana may stave off Alzheimer's
23,4,4,17,32,0,25,Kentucky seeks alcohol huffing ban
-87,59,26,27,0,89,22,Toddler died from tainted spinach
-9,6,6,0,3,0,13,Judge dismisses Karr's porn case
-45,50,38,62,0,54,0,10 die in 22-hour Kashmir standoff
-54,22,7,35,0,76,0,Slain Amish girls laid to rest
-50,30,0,85,0,37,0,"5,000 flee plant fire"
27,0,0,0,45,0,21,Cher auction fetches double pre-sale estimates
-19,15,16,0,0,0,0,Stars scuffle on 'Grey's Anatomy'
4,2,0,14,8,55,0,Probe under way in Yankee crash
-56,29,27,37,0,73,2,Amish schoolhouse torn down
-17,0,0,0,0,33,3,Warner will not run in '08
-8,2,0,0,0,3,5,Reid land deal under scrutiny
-48,0,0,36,0,39,10,"Flooding washes out road to Valdez, Alaska"
-26,23,21,28,0,33,0,Briton admits U.S. bomb plot role
-3,7,0,0,2,0,0,Commentary: Minutemen have a right to be idiotic
25,0,0,0,30,0,16,Madonna files adoption papers
-47,28,31,69,0,58,0,Gunmen kill 9 at Iraqi TV station
-31,4,7,0,0,27,3,Hastert sorry for scandal but not quitting
-2,5,5,0,4,0,0,Ex-JonBenet suspect: Child porn case dropped
-59,26,6,30,6,66,0,"Waste plant fire forces 5,000 to evacuate"
-73,25,26,8,0,83,0,Toddler died from E. coli tainted spinach
-76,50,59,4,0,42,0,Disturbing finds in child sex raids
-44,40,27,0,0,33,14,Magazine lists women who had abortions
6,0,0,4,10,0,66,"Pot smokers may avoid Alzheimer's, study says"
-36,7,29,13,0,33,19,Student starts white men's club on campus
13,0,0,8,5,0,16,Kentucky wants to ban alcohol inhalers
23,0,0,0,25,0,26,Peter Pan flies into chapter two
10,0,20,0,41,0,17,Teen repellent inventor wins infamous prize
15,0,0,0,17,0,2,"Cher's dress, car, bed have new owners"
40,0,0,0,49,0,0,"Dow hits new record, eyes 12,000"
0,0,0,0,0,0,2,Ex-Virginia gov not running for president
9,0,0,0,0,0,9,Yankee pitcher's pilot log found
-15,15,10,0,6,13,11,Dem leader's $1 million land deal under scrutiny
-39,4,23,0,0,28,0,"Dad locked up son, watched on TV, police say"
-12,3,0,0,6,13,5,Navarrette: Minutemen have a right to be idiotic
-75,4,33,26,0,37,0,"Pit bulls jump miniature pony, leave her bloody"
-66,3,0,56,0,43,0,Alaska town cut off from rest of state by flood
23,0,0,0,29,0,6,Trailblazing trio protects City by the Bay
43,0,0,0,44,0,17,Madonna files adoption papers in Malawi
-54,0,0,24,0,49,20,'Dr. McDreamy' choked in 'Grey's' scuffle
78,0,0,0,86,0,11,"$10,000 poetry prize awarded"
72,0,0,0,77,0,36,Las Vegas honour for tiger pair
64,0,0,0,67,0,39,UK characters boosting box office
21,0,0,0,18,0,2,Cher items snapped up at auction
-24,12,35,0,4,3,0,Griffiths scorns Withnail 'play'
84,0,0,0,93,0,17,Lily Allen wins web music award
-32,55,0,0,0,15,3,Costner appeals in casino wrangle
-7,10,0,0,0,0,2,Beyonce copyright claim rejected
-18,13,0,10,27,21,0,Cohn gunman jailed for 36 years
52,0,0,0,54,0,6,Melua's deep sea gig sets record
-72,21,0,26,0,75,0,Sri Lanka clashes kill 129 troops
-68,50,33,43,0,76,0,Gunmen kill 11 in Iraq TV raid
0,0,0,0,0,0,45,Italy drops Sicily bridge plans
-41,33,33,42,0,44,33,Amish killings school demolished
85,0,0,0,89,0,10,Pamuk wins Nobel Literature prize
48,0,0,0,48,0,29,Madonna adoption bid approved
-55,33,43,61,0,33,0,Man admits UK-US terror bomb plot
-22,0,16,0,0,12,0,Who are you calling fat?
32,0,0,15,38,9,11,Test to predict breast cancer relapse is approved
-48,24,26,16,13,38,5,"Two Hussein allies are hanged, Iraqi official says"
26,0,0,0,17,0,4,Sights and sounds from CES
40,0,0,0,46,0,31,Schuey sees Ferrari unveil new car
-6,1,0,23,8,11,8,Closings and cancellations top advice on flu outbreak
-67,8,0,28,0,57,7,Trucks swallowed in subway collapse
14,0,0,0,0,0,53,Sarkozy letter surprises French cartoons hearing
-9,10,0,9,22,36,3,"Building a memorial to a son, one child at a time"
-15,11,0,0,0,4,38,Lawmaker seeks iPod ban in crosswalks in New York
-32,34,11,0,0,40,13,Diabetic waits months for eyeglasses
-34,18,0,0,0,15,59,Sudan tells United Nations envoy to leave in 72 hours
61,0,0,0,53,0,65,5000 years on but couple still hugging
-6,4,5,0,0,0,19,Defense to challenge Russert's credibility
34,0,0,0,37,0,4,"Ozzy, a Hero for the hard-rocking masses"
-23,9,17,2,0,4,33,CIA leak trial summary
63,0,0,0,56,0,37,Dance movie takes over No. 1
14,0,0,0,17,0,19,Asian nations urge Myanmar reform
38,8,0,8,53,13,25,"After Iraq trip, Clinton proposes war limits"
-86,14,2,47,0,86,10,7 dead in apartment building fire
18,0,14,0,6,0,75,Male sweat boosts women's hormone levels
-2,2,2,0,0,0,10,Carphone Warehouse's mixed signals
-2,19,1,1,19,9,21,Democrats plot Bush troop increase censure
-46,51,7,0,0,3,27,Cisco sues Apple over iPhone name
-10,7,8,0,0,0,2,BB star Jackson denies Goody comments
50,2,0,0,50,0,9,Inter Milan set Serie A win record
23,0,10,0,18,2,26,US Airways boosts bid for Delta
55,0,0,0,60,3,16,Press sees hope in Mecca talks
-13,2,13,0,2,17,33,Bears fan loses bet and changes name
13,46,64,0,42,31,27,Global National	Major child porn ring bust
27,0,0,0,2,0,36,'Human hair' clue in hunt for airliner
36,0,0,0,40,8,17,Johnny Depp to make movie of spy poisoning
2,0,8,0,5,0,49,Really?: The claim: the pill can make you put on weight
38,0,0,0,31,0,8,5 money makeovers
-29,25,32,45,11,28,43,TBS to pay $2M fine for ad campaign bomb scare
62,0,0,0,68,0,13,"""Stomp the Yard"" has winning moves in its weekend debut"
45,0,0,3,55,0,56,"Discovered boys bring shock, joy"
-46,11,0,0,0,40,22,Bernhard set to leave Volkswagen
-44,14,10,24,2,3,21,Pacers' Jackson misses gun hearing
27,0,0,0,15,0,12,Cases: when the simple solution is the right one
-32,40,8,0,7,26,36,Two Muslim groups sue French newspaper International
60,0,0,0,63,0,0,Golden Globes on their way
-18,11,0,5,6,1,18,"At New OZZFEST, Freedom Ain't Free"
4,0,0,0,4,8,4,Federer handed tough Aussie draw
29,24,0,3,48,6,18,Protesters end strike as Nepal PM concedes demands
-33,17,0,30,2,0,16,"Turner pays for Boston ""bombing"""
-30,4,61,30,8,14,5,Two detained in body parts mailing
3,8,0,6,10,20,17,Essay: about that mean streak of yours: psychiatry can do only so much
-39,18,19,17,0,53,12,Hussein's niece pleads for father's life
-44,30,13,8,0,2,9,Sarkozy heads for clash in cartoons row
-64,55,54,0,0,36,13,Global web of suspects in child-rape download
29,4,0,0,33,1,2,Blake defeats Moya to retain title
-83,3,9,82,0,60,0,"Storms kill, knock out power, cancel flights"
-44,1,0,0,7,67,12,Aquarium puts ailing beluga whale to sleep
-28,0,0,6,0,21,26,"Microsoft, Sony, we have a problem"
-43,15,5,46,0,8,0,A police state? The issues
-10,17,0,0,13,11,20,Move to ban iPods from crossing the street
67,0,0,0,65,0,23,India's Taj Mahal gets facelift
-56,47,4,26,0,21,6,Cheney to Congress: Can't run Iraq war by committee
6,4,4,6,31,5,12,Ganguly handed India squad call-up
42,0,0,0,36,0,24,Fortune: Looking beyond the iPhone
31,0,0,6,23,0,44,Really?: The claim: the back seat of a car is the safest place to sit
-34,17,8,11,13,7,5,Vaccine mandate upsets legislators
-24,17,7,28,2,1,2,News analysis: Iranian boast is put to test
-42,20,15,48,0,45,0,Panel issues bleak report on climate change
51,0,0,0,44,0,25,Virtual 'American Idol' hits right notes
-98,32,27,84,0,95,20,"Iraq car bombings kill 22 People, wound more than 60"
62,0,0,0,60,0,19,'Stomp' steps to No. 1 at box office
50,0,0,0,50,0,29,Google executive acts as goodwill envoy
-82,32,15,77,0,50,9,Filipino woman kidnapped in Nigeria
31,0,0,8,32,0,5,"Seahawks, Bears vie for shot at NFL title"
-43,6,17,0,0,41,23,Brown not buried as estate issues loom
32,0,0,0,32,0,35,Will Rob Cohen Direct Third 'Mummy'?
26,8,0,5,34,3,12,EU will urge China to go green
16,0,0,0,0,0,14,17th-Century Remedy; 21st-Century Potency
-18,13,0,33,20,23,16,Forecasters expect toasty 2007
81,0,0,0,75,0,10,'Sunshine' Goydos wins Sony open
-88,52,87,18,0,23,25,Teacher charged with sex assault
-2,9,0,19,21,14,16,Merck: Gardasil may fight more strains
-52,15,10,49,0,41,12,"Mountain glaciers melting faster, United Nations says"
-45,6,0,17,0,22,13,Snow causes airport closures in Britain
62,0,0,0,63,0,24,Bananaconda inventor is top poet of kids
-52,49,0,0,0,14,15,Shareholders sue Apple
-69,48,13,53,0,40,0,Israelis retaliate after attack by Lebanese Army
-72,2,1,70,0,36,24,Deadly bird flu confirmed in British Turkeys
-51,0,12,7,0,21,57,Too little sleep may mean too fat kids
-90,2,0,32,0,93,46,Bathing mom awakes to find baby dead
54,0,0,0,43,0,40,Visitors to Eiffel Tower climb to record in 2006
61,0,0,0,47,0,56,"More sleep, healthier slimmer children"
21,2,0,11,30,2,16,Queen battles Bond for Baftas
-44,23,25,0,0,28,12,"Walters on Trump: 'Poor, pathetic man'"
-67,7,10,75,0,29,2,"Ice storm smacks roads, power"
-81,52,13,67,0,22,22,Iran says it will strike US interests if Attacked
43,0,0,0,41,2,26,Palestinian factions to resume talks
35,0,2,0,8,0,73,Study: men's sweat triggers high sexual arousal in women
-66,37,2,56,0,11,6,Outcry at N Korea 'nuclear test'
-45,27,15,75,17,22,22,Russia plans major military build-up
52,0,0,0,43,16,79,Archaeologists find remains of couple locked in a hug
44,0,0,0,45,0,8,Stenson defends his title at Dubai
-10,0,0,9,0,3,2,Taking the plunge
12,0,0,0,14,0,2,Updates on world's top stories
52,0,0,0,18,0,87,Man rides stationary bike for 85 hours
-58,14,2,51,0,25,23,Ice storm coating Midwest
-25,15,15,0,0,0,15,A Mistrial for Lieut. Watada
-74,58,13,59,0,23,10,Iran warns will hit back at US if attacked
18,0,0,0,11,4,0,ASEAN talks end on energy-security
-89,27,17,33,0,96,22,"Iraqi death toll exceeded 34,000 in 2006, United Nations says"
-80,29,15,60,0,40,8,Israel intensifies military flights over Lebanon
70,0,0,0,43,0,27,New gadgets galore at tech show
-76,0,0,17,0,79,6,Another death at Georgia Aquarium
-64,42,14,54,0,33,0,US to urge Nato Afghan spring offensive
-76,44,8,78,0,38,8,UK letter bombs may be from extremist drivers
-17,17,0,14,13,0,22,Asia seeks breakthrough on North Korea
39,0,0,0,47,2,5,Federer overcomes a ragged start
-36,21,17,4,5,17,4,Rowdy fans ejected from the Open
13,28,0,3,36,0,26,Terai protesters hail 'historic' victory over government
-68,70,25,18,0,22,10,Anger at release of two held over beheading plot
-67,58,16,20,0,35,0,Bush adamant on troops to Iraq
35,5,0,0,43,0,24,Bebe Neuwirth gets to 'wiggle again'
39,0,0,0,20,0,16,Beckham to L.A.: For the game not fame
31,0,2,12,8,0,26,Sleep more to fight childhood obesity
-32,26,9,11,2,31,18,Abbas rejects temporary state
-56,54,73,8,4,39,17,Investigation of child porn site hits 77 nations
27,0,0,3,23,2,26,Sleuths close in on Odysseus home
41,0,2,8,13,4,19,Variety: Johnny Depp to make movie of spy poisoning
-62,23,4,46,0,44,14,Ice storm cripples central U.S.
36,0,0,0,43,0,9,Park stars as United maintain lead
67,5,0,0,62,16,72,Prehistoric Romeo and Juliet discovered
59,0,0,0,50,0,26,India's famous landmark gets facelift
35,0,0,0,33,0,1,Joseph Wambaugh's new start
-83,1,0,3,0,94,30,Participant in water-drinking contest dies
47,0,0,7,37,11,38,Apple drops bombshell with iPhone
76,0,0,0,71,1,24,Bollywood's 'Brangelina' engaged
-3,34,16,44,27,30,17,"Shiite fighters arrested in crackdown, Iraq says"
-22,16,14,2,2,26,4,"Rio De Janeiro journal: drawing lines across the sand, between classes"
19,0,0,7,11,6,24,Models' health guidelines -- will they help?
31,0,0,0,33,1,17,Stepping back in time at ski resort
-57,32,14,22,8,37,8,Test cricketer jailed over killing
34,0,4,1,37,11,35,Walnuts 'combat unhealthy fats'
-11,0,0,0,1,13,22,Apple to Vista upgraders: 'Wait'
-53,7,4,2,0,50,8,Injured Sarwan to miss one-dayers
-71,17,9,71,0,16,16,Firms on alert for letter bombs
-17,3,0,5,6,11,16,Studios sign off on movie downloads
35,0,0,0,43,0,12,Asif returns with four-wicket haul
-63,47,33,19,0,38,17,"Bush authorized Iranians' arrest in Iraq, Rice says"
-81,46,60,6,0,43,20,Porn ring scandal reaches Australia
-68,16,8,17,0,58,19,Deputy health minister arrested in US-Iraqi raid
-63,6,0,33,0,25,51,Senator Carl Krueger thinks iPods can kill you
26,3,0,17,42,12,4,"Finally, Senate okays anti-terror bill Manila"
-60,10,0,80,0,29,31,Somalia declares state of emergency
64,0,0,0,72,0,3,Matt shines with his Alpine finish
-29,6,3,0,13,37,7,BP CEO Browne to step down in June
2,0,3,0,13,0,33,An iPhone by any other name? Surely not
-72,17,13,53,0,70,0,Life in Gaza steadily worsens
30,5,3,26,18,17,36,The energy challenge | Exotic visions: how to cool a planet (maybe)
38,0,0,0,45,0,31,"Easy ways to (really) save $400,000"
-51,32,6,0,0,20,10,Shareholders sue Apple
-30,1,0,42,1,10,27,Findings: Can humanity survive? Want to bet on it?
-81,28,10,79,0,27,23,Iran steps up production of weapons-grade uranium
-27,0,0,37,10,19,11,Rig-threat cargo ship towed ashore
-44,32,2,26,0,46,8,Palestinians say clashes hurt their cause
19,0,7,0,8,0,62,Male sweat can raise hormones
-45,5,0,26,0,34,55,Vital Signs: Hazards: Antidepressant linked to fractures in older people
-31,31,25,8,13,45,8,Peron held over '70s rights abuses
19,0,0,0,18,0,33,Space life search turns to TV
-41,16,15,25,15,45,27,"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war"
-22,7,23,9,14,15,24,YouTube told to drop celeb sex video
34,0,0,0,38,0,0,Beckham & Posh and more athlete-celebrity couples
14,4,0,55,24,17,3,City sets up ice storm shelters
-10,0,0,16,0,19,1,Libby prosecutors await judge's rulings
-18,0,3,0,0,17,4,Review: 'Alpha Dog' misses the point
-57,60,17,0,0,37,7,Republicans plan to block Iraq debate
-17,10,2,6,0,2,24,Mixed reaction to China's Africa push
9,0,0,8,21,11,6,Snowed in the Canadian Rockies
21,0,12,0,12,0,69,"Skip the showers: male sweat turns women on, study says"
31,0,0,1,44,8,15,Gently Weeps' lyrics sheet up for sale
60,0,0,0,70,0,7,Canete wins inaugural Joburg Open
31,25,5,36,46,22,11,Rights group halts violent Nepal strikes
-49,4,0,7,0,47,13,Real suffer Carlos injury setback
-43,0,0,21,0,43,21,Astronaut may have buckled under stress
-79,32,15,58,0,51,16,Gunmen abduct Filipino woman in Nigeria
54,0,0,0,50,0,21,NFL team's fan of the year: 'Flag Lady'
-23,11,0,3,0,11,22,No 10 rejects police state claim
44,0,0,0,39,0,14,Malaysian AirAsia X to fly in July
-78,19,7,69,0,46,8,10 kidnapped at Nigeria oil base
28,0,6,0,29,0,69,Guy sweat is babe magnet
